# Diaz Vallejo, Lucas, Ayers, Graydon, Hyer, Sohn (2021), "Process Optimization
# and Microstructure Analysis to Understand Laser Powder Bed Fusion of 316L
# Stainless Steel", Metals 11(5):832, doi:10.3390/met11050832 (CC-BY).
# Table 1, Series I: 316L SS, SLM 125HL, layer 0.03 mm, hatch 0.12 mm fixed;
# relative density from image analysis of 5 optical cross-sections per cylinder
# (mean, 1-sigma std). Extracted from the publisher full-text table.
P_W,v_mm_s,rel_density,rd_std
125,100,0.9635,0.0079
125,200,0.9679,0.0135
125,400,0.9909,0.0028
125,600,0.9990,0.0008
125,800,0.9951,0.0030
200,200,0.9835,0.0053
200,400,0.9949,0.0027
200,600,0.9992,0.0005
200,800,0.9989,0.0006
200,1000,0.9988,0.0007
200,1200,0.9983,0.0005
200,1400,0.9944,0.0020
200,1800,0.9660,0.0174
200,2200,0.9423,0.0100
200,2600,0.9022,0.0317
275,400,0.9874,0.0064
275,600,0.9990,0.0007
275,800,0.9991,0.0014
275,1000,0.9998,0.0001
275,1200,0.9977,0.0010
275,1400,0.9987,0.0006
275,1800,0.9962,0.0014
275,2200,0.9909,0.0041
275,2600,0.9655,0.0059
275,3000,0.9352,0.0162
350,600,0.9974,0.0008
350,800,0.9993,0.0005
350,1000,0.9990,0.0003
350,1200,0.9998,0.0002
350,1400,0.9978,0.0023
350,1800,0.9971,0.0018
350,2200,0.9946,0.0032
350,2600,0.9509,0.0200
350,3000,0.9440,0.0147
350,3400,0.9490,0.0132
