# Source: Mantzoukas, Papageorgiou, Medrea, Stergiou (2021),
# "Hardness behavior of W. Nr. 1.7709 steel, oil quenched and tempered
#  between 475C and 575C", MATEC Web of Conferences 349, 02005, Table 3.
# doi:10.1051/matecconf/202134902005 (CC-BY 4.0)
# 21CrMoV5-7 / DIN 1.7709, austenitized 960C/30min, oil quenched,
# tempered 2h at T_temper, six HV30 indents per specimen averaged.
T_temper_C,specimen,HV30
475,1,370
475,2,375
475,3,375
475,4,415
475,5,382
475,6,385
475,7,380
475,8,376
475,9,371
475,10,384
500,11,387
500,12,449
500,13,398
500,14,420
500,15,398
500,16,427
500,17,425
500,18,403
500,19,393
500,20,390
525,21,380
525,22,385
525,23,378
525,24,374
525,25,384
525,26,385
525,27,382
525,28,400
525,29,379
525,30,369
550,31,402
550,32,370
550,33,413
550,34,398
550,35,415
550,36,395
550,37,427
550,38,396
550,39,409
550,40,399
575,41,370
575,42,378
575,43,385
575,44,382
575,45,374
575,46,380
575,47,384
575,48,378
575,49,382
575,50,381
